IRN,ZF no.,Square,Genus,,Species,Sub-species,Notes on slides,Era,Grade,No. of individuals,No. positioned individuals,Observations Marina,Buckley Slide/SL,Museum no.,Residue IRN,Cruise name,Cruise station no.,Collection date,Observations,Collect info,tow,Sea Depth NOAA (m),Sea Depth (m),Sea Depth (fms),Sea Depth (feet),Sample depth (cm),sample_depth_min,sample_depth_max,Lat degrees,Lat minutes,Lat seconds,Lat N/S,Long degrees,Long minutes,Long seconds,Long W/E,Lat decimal,Long decimal,Ocean/Sea
5465469,6469,,Globoquadrina,,conglomerata,,,,,1,1,tow,1341,"1968,O437",18586,Oceanographer,7B,05/07/67,,Icita Net,1,-4025,50,27,,,,,5,26,0,N,85,37,0,E,5.43333,85.61667,Indian ocean
5465470,6470,,Globoquadrina,,conglomerata,,dissected,,127-250 mu,23,10,,1684,"1971,O489",2229293,Umitaka-Maru,IC-5,,,,,,4308,,,56-60,56,60,1,58,12,N,77,58,48,E,1.97,77.98,Indian ocean
,6470,,Globoquadrina,,hexagona,,,,127-250 mu,16,,,1684,"1971,O489",2229293,Umitaka-Maru,IC-5,,,,,,4308,,,56-60,56,60,1,58,12,N,77,58,48,E,1.97,77.98,Indian ocean
5465471,6471,,Globoquadrina,,hexagona,,Near TYPE locality of G. hexagona (Natland.),,,3,3,,56,,,,,03/08/49,,,,-210,1108,606,,,,,32,36,0,N,117,22,54,W,32.6,-117.38167,Pacific ocean near coast
5465472,6472,,Globoquadrina,,hexagona,,See Parker 1962 Micropal Vol.8 No.2 pl 8 fig 13,,,4,3,,77,,16649,RV Spencer F. Baird,DWBG 74,11/12/57,,,,-3141,3220,1761,,03-Jul,3,6,43,43,0,S,107,36,0,W,-43.71667,-107.6,Pacific Ocean
5465473,6473,,Globoquadrina,,hexagona,,,,,6,5,,87,,16654,RV Spencer F. Baird,DWBG 137,15/02/58,,,,-2712,2770,1515,,05-Sep,5,9,9,53,0,S,110,41,0,W,-9.88333,-110.68333,Pacific ocean
5465474,6474,,Globoquadrina,,hexagona,,,,,3,2,,169,,16641,RV Horizon,Cap HG 38,01/02/53,,,,-3617,3590,1963,,04-Aug,4,8,14,16,24,S,120,40,48,W,-14.27333,-120.68,Pacific ocean
5465475,6475,,Globoquadrina,,hexagona,,,,,5,4,,181,,16645,RV Spencer F. Baird,DWBG 11,31/10/57,,,,-3415,4155,2272,,07-Oct,7,10,5,26,0,N,131,19,0,W,5.43333,-131.31667,Pacific ocean
5465476,6476,,Globoquadrina,,hexagona,,See Parker 1962 Micropal Vol.8 No.2 pl 8 fig 13,,,7,6,,243,,16650,RV Spencer F. Baird,DWBG 114,23/01/58,,,,-3157,3090,1690,,08-Dec,8,12,18,20,0,S,79,20,30,W,-18.33333,-79.34167,Pacific ocean
5465477,6477,,Globoquadrina,,hexagona,,,,,2,2,,255,,16651,RV Spencer F. Baird,DWBG 120,01/02/58,Residue OBD: 01/01/1958,,,-3039,3060,1673,,13-20,13,20,27,56,0,S,106,55,0,W,-27.93333,-106.91667,Pacific Ocean
5465478,6478,,Globoquadrina,,hexagona,,,,,3,2,,263,,16652,RV Spencer F. Baird,DWBG 121,03/02/58,,,,-2819,3320,1815,,Oct-14,10,14,27,9,0,S,109,50,0,W,-27.15,-109.83333,Pacific ocean
5465479,6479,,Globoquadrina,,hexagona,,,,,11,11,,292,,16653,RV Spencer F. Baird,DWBG 130,11/02/58,,Gravity corer,,-3034,3120,1706,,Dec-15,12,15,14,44,0,S,112,6,0,W,-14.73333,-112.1,Pacific ocean
5465480,6480,,Globoquadrina,,hexagona,,,,,4,3,,301,,16657,RV Argo,MSN 53 G,05/12/60,,,,-2810,3658,2000,,04-Sep,4,9,16,25,0,S,66,2,0,E,-16.41667,66.03333,Indian ocean
5465481,6481,,Globoquadrina,,hexagona,,,,,3,2,,327,"1,963,930",16656,RV Horizon,DWHG 79,07/02/58,,,,-3362,,,,07-Nov,7,11,23,36,30,S,118,13,30,W,-23.60833,-118.225,Pacific ocean
5465482,6482,,Globoquadrina,,hexagona,,,,+127 mu,6,5,,349,96626 (A52),30724,HEMS Mabahiss,167,25/04/34,,,,-4346,4042,2210,,4-5.5,4,5.5,7,11,36,N,63,2,33,E,7.19333,63.0425,Indian ocean
5465483,6483,,Globoquadrina,,hexagona,,,,127-250 mu,7,4,,397,M.7525.A,37190,HMS Sealark,,31/07/05,,,,-3322,3919,2143,,,,,12,7,0,S,64,7,30,E,-12.11667,64.125,Indian ocean
5465484,6484,,Globoquadrina,,hexagona,,,,,3,3,,424,M.4292,35238,HMS Egeria,,01/04/1894,,,,-2658,2749,1503,,,,,7,5,0,N,73,48,15,E,7.08333,73.80417,Indian ocean near coast
5465485,6485,,Globoquadrina,,hexagona,,,,127-250 mu,9,6,,445,M.7488,37149,HMS Sealark,186,12/11/05,"Slide: 02/11/1905, Lat 2 41 1 S",,,-3594,3475,1900,,,,,2,42,6,S,67,23,0,E,-2.70167,67.38333,Indian ocean
5465486,6486,*,Globoquadrina,,hexagona,,,,+250 mu,5,4,,446,M.7488,37149,HMS Sealark,186,12/11/05,"Slide: 02/11/1905, Lat 2 41 1 S",,,-3594,3475,1900,,,,,2,42,6,S,67,23,0,E,-2.70167,67.38333,Indian ocean
5465487,6487,,Globoquadrina,,hexagona,,,,127-250 mu,10,5,,469,M.7487,37148,HMS Sealark,181,09/11/05,,,,-3507,3758,2055,,,,,7,35,30,S,61,29,0,E,-7.59167,61.48333,Indian ocean
5465488,6488,,Globoquadrina,,hexagona,,,,+250 mu,3,2,,482,M.7469,37130,HMS Sealark,52,29/07/05,Sea depth: 2252 fms,,,-3694,4082,2232,,,,,8,25,0,S,65,38,0,E,-8.41667,65.63333,Indian ocean
5465489,6489,,Globoquadrina,,hexagona,,,,+250 mu,1,1,,544,M.5246,36053,HMS Penguin,9,16/04/1891,,,,-3350,3676,2010,,,,,26,56,12,S,111,10,54,E,-26.93667,111.18167,Indian ocean near coast
5465490,6490,,Globoquadrina,,hexagona,,,,,3,3,,809,"1965,O37",17338,RV Vema,V 14-100,25/05/58,,Sample depth: 20-23?,,-3663,3910,2138,,22-23,22,23,3,52,0,N,65,31,0,E,3.86667,65.51667,Indian ocean
5465491,6491,,Globoquadrina,,hexagona,,,,,2,1,,960,"1965,O206",17371,RV Vema,V 16-21,09/11/59,"Residual IRN related to 1965,O40 (and not 1965,O206)",,,-3881,3795,2075,,80-82,80,82,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5465492,6492,,Globoquadrina,,hexagona,,,,,4,1,tow,1080,,18717,Anton Bruun (A.B.) cruise 1,Stn.97 no. 479,01/05/63,,Plankton tow,1,-3151,0-250,,,,,,13,8,0,N,86,12,0,E,13.13333,86.2,"Indian ocean, Bay of Bengal"
5465493,6493,,Globoquadrina,,hexagona,,,Zone N20,,2,2,,1189,"1968,O243",18484,RV Argo,Dodo 117 P,18/06/64,Slide: Long 6 4  E,Piston core,,-3407,3398,1858,,251-254,251,254,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
5465494,6494,,Globoquadrina,,hexagona,,,Zone Lower N19,,2,1,,1471,"1968,O380",18529,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,-3735,3400,1859,,544-546,544,546,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5465495,6495,,Globoquadrina,,hexagona,,Natland,Zone N19,,2,1,,1271,"1968,O381",18530,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,-3735,3400,1859,,575-578,575,578,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5465496,6496,,Globoquadrina,,hexagona,,,Zone N18 base,,4,2,,1241,"1968,O384",18532,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,-3735,3400,1859,,789-791,789,791,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5465497,6497,,Globoquadrina,,hexagona,,,Zone N21,,3,2,,1586,"1968,O378",18527,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,-3735,3400,1859,,488-490,488,490,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5465498,6498,,Globoquadrina,,hexagona,,P20 ; Natland,,,5,4,tow,,"1,963,378",16377,Shellback Exped. / RV Horizon,142,23/07/52,Residue OBD: 23/07/1963,Oblique haul,1,-4865,0-321,,,,,,14,59,0,S,85,3,0,W,-14.98333,-85.05,Pacific ocean
5465499,6499,,Globigerinita,,glutinata,,,,,11,"messy positions (all slides), hard to define one position",,89,,16654,RV Spencer F. Baird,DWBG 137,15/02/58,,,,-2712,2770,1515,,05-Sep,5,9,9,53,0,S,110,41,0,W,-9.88333,-110.68333,Pacific ocean
5465500,6500,,Globigerinita,,glutinata,,,,,7,,,164,,16641,RV Horizon,Cap HG 38,01/02/53,,,,-3617,3590,1963,,04-Aug,4,8,14,16,24,S,120,40,48,W,-14.27333,-120.68,Pacific ocean
5465501,6501,,Globigerinita,,glutinata,,,,,9,,,103,,16642,RV Horizon,Cap HG 40,02/02/53,,,,-3641,3550,1941,,01-Apr,1,4,15,13,6,S,117,30,24,W,-15.21833,-117.50667,Pacific ocean
5465502,6502,,Globigerinita,,glutinata,,Parker,,,15,,,130,M.408,34991,HMS Challenger,338,21/03/1876,,,,-3740,3639,1990,,,,,21,15,0,S,14,2,0,W,-21.25,-14.03333,Atlantic ocean
5465503,6503,,Globigerinita,,glutinata,,Parker,,,13,,,216,"1,963,923",16648,RV Spencer F. Baird,DWBG 70,07/12/57,,,,-2677,2580,1411,,0-8,0,8,48,28,30,S,113,17,0,W,-48.475,-113.28333,Pacific Ocean
5465504,6504,,Globigerinita,,glutinata,,,,,15,,,260,,16651,RV Spencer F. Baird,DWBG 120,01/02/58,Residue OBD: 01/01/1958,,,-3039,3060,1673,,13-20,13,20,27,56,0,S,106,55,0,W,-27.93333,-106.91667,Pacific Ocean
5465505,6505,,Globigerinita,,glutinata,,,,,13,,,268,,16652,RV Spencer F. Baird,DWBG 121,03/02/58,,,,-2819,3320,1815,,Oct-14,10,14,27,9,0,S,109,50,0,W,-27.15,-109.83333,Pacific ocean
5465506,6506,,Globigerinita,,glutinata,,,,,17,,,291,,16653,RV Spencer F. Baird,DWBG 130,11/02/58,,Gravity corer,,-3034,3120,1706,,Dec-15,12,15,14,44,0,S,112,6,0,W,-14.73333,-112.1,Pacific ocean
5465507,6507,,Globigerinita,,glutinata,,,,,19,,,314,,16657,RV Argo,MSN 53 G,05/12/60,,,,-2810,3658,2000,,04-Sep,4,9,16,25,0,S,66,2,0,E,-16.41667,66.03333,Indian ocean
5465508,6508,,Globigerinita,,glutinata,,,,,7,,,325,"1,963,930",16656,RV Horizon,DWHG 79,07/02/58,,,,-3362,,,,07-Nov,7,11,23,36,30,S,118,13,30,W,-23.60833,-118.225,Pacific ocean
5465509,6509,,Globigerinita,,glutinata,,,,127-250 mu,6,,,364,96626 (A52),30724,HEMS Mabahiss,167,25/04/34,,,,-4346,4042,2210,,4-5.5,4,5.5,7,11,36,N,63,2,33,E,7.19333,63.0425,Indian ocean
5465510,6510,,Globigerinita,,glutinata,,,,127-250 mu,16,,,386,M.3787,34671,HMS Egeria ,,31/10/1887,,,,-2708,2869,1569,,,,,19,34,0,S,64,38,0,E,-19.56667,64.63333,Indian ocean
5465511,6511,,Globigerinita,,glutinata,,,,127-250 mu,15,,,404,M.7525.A,37190,HMS Sealark,,31/07/05,,,,-3322,3919,2143,,,,,12,7,0,S,64,7,30,E,-12.11667,64.125,Indian ocean
5465512,6512,,Globigerinita,,glutinata,,,,127-250 mu,12,,,413,M.4292,35238,HMS Egeria,,01/04/1894,,,,-2658,2749,1503,,,,,7,5,0,N,73,48,15,E,7.08333,73.80417,Indian ocean near coast
5465513,6513,,Globigerinita,,glutinata,,,,127-250 mu,6,,,438,M.7488,37149,HMS Sealark,186,12/11/05,"Slide: 02/11/1905, Lat 2 41 1 S",,,-3594,3475,1900,,,,,2,42,6,S,67,23,0,E,-2.70167,67.38333,Indian ocean
5465514,6514,,Globigerinita,,glutinata,,,,127-250 mu,18,,,467,M.7487,37148,HMS Sealark,181,09/11/05,,,,-3507,3758,2055,,,,,7,35,30,S,61,29,0,E,-7.59167,61.48333,Indian ocean
5465515,6515,,Globigerinita,,glutinata,,,,127-250 mu,18,,,532,M.5248,36057,HMS Penguin,12,17/04/1891,,,,-3829,3758,2055,,,,,24,53,30,S,110,23,30,E,-24.89167,110.39167,Indian ocean near coast
5465516,6516,,Globigerinita,,glutinata,,,,127-250 mu,27,,,552,M.5246,36053,HMS Penguin,9,16/04/1891,,,,-3350,3676,2010,,,,,26,56,12,S,111,10,54,E,-26.93667,111.18167,Indian ocean near coast
5465517,6517,,Globigerinita,,glutinata,,,,,13,,,602,,17273,RNZFA Tui,N.Z.1.0.B.74,09/09/58,,,,-124,869,475,,,,,20,57,0,S,175,14,0,W,-20.95,-175.23333,Pacific ocean near Tonga island
5465518,6518,,Globigerinita,,glutinata,,,,,1,,,634,,17240,F.N.Z.R.A.,N.Z.1.0.A.294,07/06/56,,,,-3021,2268,1240,,,,,28,53,0,S,170,0,0,E,-28.88333,170,"Pacific ocean, Tasman sea"
5465519,6519,,Globigerinita,,glutinata,,,,,20,,,641,,17240,F.N.Z.R.A.,N.Z.1.0.A.294,07/06/56,,,,-3021,2268,1240,,,,,28,53,0,S,170,0,0,E,-28.88333,170,"Pacific ocean, Tasman sea"
5465520,6520,,Globigerinita,,glutinata,,,,,18,,,665,,17229,HMNZS Lachlan,N.Z.1.0.A.181,16/05/55,Slide: Long 178 50 E,,,-2464,1920,1050,,,,,33,53,0,S,173,50,0,E,-33.88333,173.83333,"Pacific ocean, Tasman sea"
5465521,6521,,Globigerinita,,glutinata,,,,,2,,,682,,17031,RNZFA Tui,N.Z.1.0.A.315,19/08/56,,,,-1137,1148,628,,,,,39,46,0,S,167,45,0,E,-39.76667,167.75,"Pacific ocean, Tasman sea"
5465522,6522,,Globigerinita,,glutinata,,,,,14,,,688,,17031,RNZFA Tui,N.Z.1.0.A.315,19/08/56,,,,-1137,1148,628,,,,,39,46,0,S,167,45,0,E,-39.76667,167.75,"Pacific ocean, Tasman sea"
5465523,6523,,Globigerinita,,glutinata,,,,,10,,,693,,17262,HMNZS Pukaki,N.Z.1.0.B.32,01/01/57,,,,-746,768,420,,,,,53,38,0,S,169,52,0,E,-53.63333,169.86667,Pacific ocean
5465524,6524,,Globigerinita,,glutinata,,,,,6,,,696,,17262,HMNZS Pukaki,N.Z.1.0.B.32,01/01/57,,,,-746,768,420,,,,,53,38,0,S,169,52,0,E,-53.63333,169.86667,Pacific ocean
5465525,6525,*,Globigerinita,,glutinata,,,,,22,,,707,M.284,33668,HMS Challenger,220,11/03/1875,,,,-2213,2012,1100,,,,,0,42,0,S,147,0,0,E,-0.7,147,Pacific ocean
5465526,6526,,Globigerinita,,glutinata,,,,,15,,,717,M.5987,36515,HMS Penguin,,05/05/1897,,,,-4057,4188,2290,,,,,9,41,0,S,174,37,30,W,-9.68333,-174.625,Pacific ocean
5465527,6527,,Globigerinita,,glutinata,,,,,26,,,759,M.5840,36361,HMS Penguin,3,21/05/1896,"Slide: 21/05/1898, Long 178 52 E",,,-4844,4965,2715,,,,,10,12,53,S,178,0,52,E,-10.21472,178.01444,Pacific ocean
5465528,6528,,Globigerinita,,glutinata,,,,,26,,,766,M.7059,36704,HMS Penguin,723,20/09/1897,Slide: Long 145 41 3 W,,,-3952,4071,2226,,,,,13,10,18,S,175,41,18,W,-13.17167,-175.68833,Pacific ocean
5465529,6529,*,Globigerinita,,glutinata,,,,,35,,,783,M.4080,34993,HMS Egeria,,26/08/1889,,,,-2519,2579,1410,,,,,15,39,0,S,179,3,45,W,-15.65,-179.0625,Pacific ocean
5465530,6530,,Globigerinita,,glutinata,,,,,26,,,804,"1965,O37",17338,RV Vema,V 14-100,25/05/58,,Sample depth: 20-23?,,-3663,3910,2138,,22-23,22,23,3,52,0,N,65,31,0,E,3.86667,65.51667,Indian ocean
5465531,6531,,Globigerinita,,glutinata,,,Pleistocene G-M,,23,,,866,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,,,-3182,3000,1640,,205-8,205,208,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5465532,6532,,Globigerinita,,glutinata,,,Pleistocene Gunz,,27,,,893,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,,,-3182,3000,1640,,545-8,545,548,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5465533,6533,,Globigerinita,,glutinata,,,Pliocene,,17,,,898,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,,,-3182,3000,1640,,625-8,625,628,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5465534,6534,,Globigerinita,,glutinata,,,Pleistocene Gunz,,19,,,945,"1965,O39",17359,RV Vema,V 15-164,03/05/59,,Sample depth: 5-8?,,-4123,3380,1848,,05-Jun,5,6,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5465535,6535,,Globigerinita,,glutinata,,,Pleistocene Gunz,,21,,,824,"1965,O40",17371,RV Vema,V 16-21,09/11/59,Sample depth: 555-558?,,,-3881,3795,2075,,55-58,55,58,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5465536,6536,,Globigerinita,,glutinata,,,Pleistocene Gunz,,30,,,854,"1965,O41",17382,RV Vema ,V 16-23,12/11/59,,,,-4298,4886,2672,,950-3,950,953,13,15,0,N,40,40,0,W,13.25,-40.66667,Atlantic ocean
5465537,6537,,Globigerinita,,glutinata,,,,,26,,,957,"1965,O206",17371,RV Vema,V 16-21,09/11/59,"Residual IRN related to 1965,O40 (and not 1965,O206)",,,-3881,3795,2075,,80-82,80,82,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5465538,6538,,Globigerinita,,glutinata,,,,,15,,,1002,"1965,O208",17163,RV Argo,A 185-7,,,,,-2910,2470,1351,,402,402,402,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5465539,6539,,Globigerinita,,glutinata,,,,,17,,tow,1039,"1967,O364",18266,Zapiola,,Sep-63,,Surface plankton tow,1,-3846,,,,,,,31,9,0,S,43,0,0,W,-31.15,-43,Atlantic ocean
5465541,6541,,Globigerinita,,glutinata,,,,,7,,,1153,M.7632,37299,HMS Serpent ?,,30/01/1868,,,,-3261,3456,1890,,,,,18,38,0,N,69,10,0,E,18.63333,69.16667,Indian ocean
5465542,6542,,Globigerinita,,glutinata,,,Zone N21,,8,,,1172,"1968,O242",18483,RV Argo,Dodo 117 P,18/06/64,Slide: Long 6 4  E,Piston core,,-3407,3398,1858,,99-102,99,102,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
5465543,6543,,Globigerinita,,glutinata,,,,,1,,tow,1322,"1968,O435",18584,Oceanographer,5U,03/07/67,,,1,-70,50,27,,,,,5,55,0,N,80,8,0,E,5.91667,80.13333,Indian ocean near coast
5465544,6544,,Globigerinita,,glutinata,,,,,1,,tow,1369,"1968,O441",18590,Oceanographer,11B & 11U,11/08/67,"same as 1968,O458",Icita net,1,-30,50,27,,,,,6,23,0,S,112,34,0,E,-6.38333,112.56667,Java Sea
5465545,6545,,Globigerinita,,glutinata,,,,,1,,tow,1419,"1968,O449",18598,Oceanographer,19,20/08/67,,,1,-1056,50,27,,,,,26,5,0,S,111,36,0,E,-26.08333,111.6,Indian ocean
5465546,6546,,Globigerinita,,glutinata,,,,,1,,tow,1442,"1968,O470",18619,Oceanographer,23-15,22/08/67,,,1,-98,50,27,,,,,23,57,0,S,113,6,0,E,-23.95,113.1,Indian ocean near coast
5465547,6547,,Globigerinita,,glutinata,,,,,2,,tow,1429,"1968,O450",18599,Oceanographer,20,20/08/67,,,1,-2096,50,27,,,,,26,55,0,S,111,34,0,E,-26.91667,111.56667,Indian ocean near coast
5465548,6548,,Globigerinita,,glutinata,,,,,1,,tow,1524,"1968,O455",18604,Oceanographer,25B & 25U,23/08/67,,,1,-210,50,27,,,,,30,42,0,S,114,41,0,E,-30.7,114.68333,Indian ocean near coast
5465549,6549,,Globigerinita,,humilis,,,,,10,very small and hard to focus,,26,M.25,33286,HMS Challenger,5,21/02/1873,,,,-5153,5011,2740,,,,,24,20,0,N,24,28,0,W,24.33333,-24.46667,Atlantic ocean
5465550,6550,,Globigerinita,,humilis,,thought to be pumilio (renamed 09/05/1968),,,7,,,80,,16654,RV Spencer F. Baird,DWBG 137,15/02/58,,,,-2712,2770,1515,,05-Sep,5,9,9,53,0,S,110,41,0,W,-9.88333,-110.68333,Pacific ocean
5465551,6551,,Globigerinita,,humilis,,,,,15,,,171,,16641,RV Horizon,Cap HG 38,01/02/53,,,,-3617,3590,1963,,04-Aug,4,8,14,16,24,S,120,40,48,W,-14.27333,-120.68,Pacific ocean
5465552,6552,,Globigerinita,,humilis,,,,,9,,,102,,16642,RV Horizon,Cap HG 40,02/02/53,,,,-3641,3550,1941,,01-Apr,1,4,15,13,6,S,117,30,24,W,-15.21833,-117.50667,Pacific ocean
5465553,6553,,Globigerinita,,humilis,,Parker ; marina: very small,,,10,,,132,M.408,34991,HMS Challenger,338,21/03/1876,,,,-3740,3639,1990,,,,,21,15,0,S,14,2,0,W,-21.25,-14.03333,Atlantic ocean
5465554,6554,*,Globigerinita,,humilis-cristata,,,,,17,,,254,,16651,RV Spencer F. Baird,DWBG 120,01/02/58,Residue OBD: 01/01/1958,,,-3039,3060,1673,,13-20,13,20,27,56,0,S,106,55,0,W,-27.93333,-106.91667,Pacific Ocean
5465555,6555,,Globigerinita,,humilis,,,,,6,,,278,,16652,RV Spencer F. Baird,DWBG 121,03/02/58,,,,-2819,3320,1815,,Oct-14,10,14,27,9,0,S,109,50,0,W,-27.15,-109.83333,Pacific ocean
5465556,6556,,Globigerinita,,humilis,,,,,15,,,297,,16653,RV Spencer F. Baird,DWBG 130,11/02/58,,Gravity corer,,-3034,3120,1706,,Dec-15,12,15,14,44,0,S,112,6,0,W,-14.73333,-112.1,Pacific ocean
5465557,6557,,Globigerinita,,humilis,,,,,16,,,317,,16657,RV Argo,MSN 53 G,05/12/60,,,,-2810,3658,2000,,04-Sep,4,9,16,25,0,S,66,2,0,E,-16.41667,66.03333,Indian ocean
5465558,6558,,Globigerinita,,humilis,,,,,17,,,328,"1,963,930",16656,RV Horizon,DWHG 79,07/02/58,,,,-3362,,,,07-Nov,7,11,23,36,30,S,118,13,30,W,-23.60833,-118.225,Pacific ocean
5465559,6559,,Globigerinita,,humilis,,,,,10,,,362,96626 (A52),30724,HEMS Mabahiss,167,25/04/34,,,,-4346,4042,2210,,various levels in core,,,7,11,36,N,63,2,33,E,7.19333,63.0425,Indian ocean
5465560,6560,,Globigerinita,,humilis,,,,127-250 mu,3,,,384,M.3787,34671,HMS Egeria ,,31/10/1887,,,,-2708,2869,1569,,,,,19,34,0,S,64,38,0,E,-19.56667,64.63333,Indian ocean
5465561,6561,,Globigerinita,,humilis,,,,127-250 mu,15,,,501,M.3791,34676,Egeria XX,,12/11/1887,,,,-4646,4510,2466,,,,,23,14,5,S,56,18,15,E,-23.23472,56.30417,Indian ocean
5465562,6562,,Globigerinita,,humilis,,,,,2,,,703,M.284,33668,HMS Challenger,220,11/03/1875,,,,-2213,2012,1100,,,,,0,42,0,S,147,0,0,E,-0.7,147,Pacific ocean
5465563,6563,,Globigerinita,,humilis,,,Zone N21,,11,,,1170,"1968,O242",18483,RV Argo,Dodo 117 P,18/06/64,Slide: Long 6 4  E,Piston core,,-3407,3398,1858,,99-102,99,102,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
5465564,6564,,Globigerinita,,humilis,,,Zone N20,,1,,,1185,"1968,O243",18484,RV Argo,Dodo 117 P,18/06/64,Slide: Long 6 4  E,Piston core,,-3407,3398,1858,,251-254,251,254,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
5465565,6565,,Globigerinita,,iota,,,,,8,very small and hard to focus,,166,,16641,RV Horizon,Cap HG 38,01/02/53,,,,-3617,3590,1963,,04-Aug,4,8,14,16,24,S,120,40,48,W,-14.27333,-120.68,Pacific ocean
5465566,6566,,Globigerinita,,iota,,,,,2,,,220,"1,963,923",16648,RV Spencer F. Baird,DWBG 70,07/12/57,,,,-2677,2580,1411,,0-8,0,8,48,28,30,S,113,17,0,W,-48.475,-113.28333,Pacific Ocean
5465567,6567,,Globigerinita,,iota,,,,,8,,,233,,16650,RV Spencer F. Baird,DWBG 114,23/01/58,,,,-3157,3090,1690,,08-Dec,8,12,18,20,0,S,79,20,30,W,-18.33333,-79.34167,Pacific ocean
5465568,6568,,Globigerinita,,iota,,,,,5,,,276,,16652,RV Spencer F. Baird,DWBG 121,03/02/58,,,,-2819,3320,1815,,Oct-14,10,14,27,9,0,S,109,50,0,W,-27.15,-109.83333,Pacific ocean
5465569,6569,,Globigerinita,,iota,,P21 ; TopoTYPEs ; Parker,,,5,,,,"1,963,369",16367, RV Spencer F. Baird,DWBG 73,11/12/57,,RV Spencer F. Baird,,-3132,3080,1684,,0-2,0,2,43,48,0,S,108,9,0,W,-43.8,-108.15,Pacific Ocean
5465570,6570,,Globigerinita,,iota,,"dissected off 1963,369 ; 02/03/1972",,,3,,,,"1,963,369",16367, RV Spencer F. Baird,DWBG 73,11/12/57,,RV Spencer F. Baird,,-3132,3080,1684,,0-2,0,2,43,48,0,S,108,9,0,W,-43.8,-108.15,Pacific Ocean
5465571,6571,,Orbulina ,,universa,,,,,6,6,,83,,16654,RV Spencer F. Baird,DWBG 137,15/02/58,,,,-2712,2770,1515,,05-Sep,5,9,9,53,0,S,110,41,0,W,-9.88333,-110.68333,Pacific ocean
5465572,6572,,Orbulina ,,universa,,,,,5,5,,115,M.408,34991,HMS Challenger,338,21/03/1876,,,,-3740,3639,1990,,,,,21,15,0,S,14,2,0,W,-21.25,-14.03333,Atlantic ocean
5465573,6573,,Orbulina ,,universa,,,,,7,7,,136,"1,963,367",16365,Capricorn,BG 24,03/01/53,,,,-4347,2780,1520,,05-Oct,5,10,19,28,30,S,173,44,0,W,-19.475,-173.73333,Pacific ocean
5465574,6574,,Orbulina ,,universa,,,,,3,3,,180,,16645,RV Spencer F. Baird,DWBG 11,31/10/57,,,,-3415,4155,2272,,07-Oct,7,10,5,26,0,N,131,19,0,W,5.43333,-131.31667,Pacific ocean
5465575,6575,,Orbulina ,,universa,,marina: all broken!!,,,0,0,,195,,16646,RV Spencer F. Baird,DWBG 36,23/11/57,,,,-2312,3680,2012,,03-Jul,3,6,26,19,0,S,147,7,0,W,-26.31667,-147.11667,Pacific Ocean
5465576,6576,,Orbulina ,,universa,,,,+250 mu,4,2,,356,96626 (A52),30724,HEMS Mabahiss,167,25/04/34,,,,-4346,4042,2210,,4-5.5,4,5.5,7,11,36,N,63,2,33,E,7.19333,63.0425,Indian ocean
5465577,6577,,Orbulina ,,universa,,,,+250 mu,2,1,,466,M.7487,37148,HMS Sealark,181,09/11/05,,,,-3507,3758,2055,,,,,7,35,30,S,61,29,0,E,-7.59167,61.48333,Indian ocean
,6577,,"C. nitida; G. crassa, G. ruber",,"nitida, crassaformis, ruber",,,,+250 mu,9,0,,466,M.7487,37148,HMS Sealark,181,09/11/05,,,,-3507,3758,2055,,,,,7,35,30,S,61,29,0,E,-7.59167,61.48333,Indian ocean
5465578,6578,,Orbulina ,,universa,,,,,3,3,,612,,17273,RNZFA Tui,N.Z.1.0.B.74,09/09/58,,,,-124,869,475,,,,,20,57,0,S,175,14,0,W,-20.95,-175.23333,Pacific ocean near Tonga island
